epoch,g_loss,d_loss,l1_loss,perc_loss,val_ssim,val_psnr,val_lab_error,g_diff,param_changed_pct,lr,epoch_duration_s,l1,adv,perc,ssim_loss,chroma,feat,g_grad_norm,d_grad_norm,g_lr,d_lr,val_mae,val_rmse,val_sam,val_sat_ratio,val_hist_dist,duration_sec
98,96.82095725319604,0.3685254485318155,,,0.2014062647712963,10.699715406535056,34.503040473554385,,,,,0.3718514554428331,1.9293095805428244,4.562613172242136,0.7194292686202309,0.031565346422069,8.377344845280502,225.2215167190089,2.3281870354305614,0.0002,0.0002,0.2444329921093733,0.3080167763726005,0.3285530219530926,1.742112823038794,0.1594759138020057,142.48011827468872
99,96.183579046076,0.3685746863032832,,,0.2221988629362436,11.341271341845976,31.641146036499705,,,,,0.3708646259524605,1.9008768038316208,4.552743235501376,0.7168306755297111,0.0308304125047994,8.280161863384825,221.68979133837152,2.245238069693248,0.0002,0.0002,0.2237743578809599,0.284034993395459,0.2642608523035848,1.3926238154565822,0.1437118740013525,142.343852519989
100,96.55410997795336,0.365903291015914,,,0.2294084865953669,11.286411711623549,29.52361448916643,,,,,0.3703562292185696,1.9109951532248293,4.560112768231016,0.7168842825022611,0.0308771753627242,8.338449816270309,230.88960790923147,2.323392348939722,0.0002,0.0002,0.2265738138939415,0.2873120857350653,0.2131451062816481,0.6023145917407627,0.1308408290966373,142.71178150177002
101,97.45167948404948,0.3621209174394607,,,0.2398736543495561,11.502791463329803,28.93346820596876,,,,,0.3687229999990174,1.9392992662661004,4.5341779217575535,0.7157000501950582,0.0312588966028256,8.568470564755527,281.0260618730025,2.290151360540679,0.0001986733333333,0.0001986733333333,0.2200096322837488,0.28084229224221,0.2171885013247335,0.7170744448400742,0.1419251680970747,142.1772658824921
102,97.07664744059244,0.3591064608458316,,,0.1967774696190264,10.611871815260562,32.508811439215805,,,,,0.3674964473103032,1.9303436907854947,4.533176179365678,0.7137800711573976,0.0306815513833002,8.501862800482547,207.0581248659076,2.0413378664941497,0.0001973466666666,0.0001973466666666,0.2453248634018711,0.3104344499843746,0.2620770443418172,0.9113737957437612,0.1827846396804632,142.348308801651
103,96.71276633522729,0.3665191917708426,,,0.2237682062820349,11.048499549567367,31.05253231325629,,,,,0.3669731842749046,1.9239042282104493,4.531146523446748,0.7157343528487465,0.0305088358282139,8.433595137162643,210.23086168693771,2.1238637212551,0.00019602,0.00019602,0.2349139508588354,0.2952311585069369,0.2320217395294977,0.8975794508470504,0.1068592074585582,141.96376729011536
104,95.74177995161575,0.3685008204344547,,,0.220529098084519,11.122507915816492,31.868263564296274,,,,,0.3674319984334888,1.8661474061734749,4.562860176780007,0.7206506523219022,0.0306126144573544,8.181646378835042,208.54696893403025,2.190821085915421,0.0001946933333333,0.0001946933333333,0.233542614142988,0.2928015126862339,0.2487908515184285,1.1385263817270377,0.1091216606551042,141.79584074020386
105,95.7645818536932,0.3660069959633278,,,0.2213307072996427,11.217683909325626,30.04588391394589,,,,,0.3673780835036075,1.882131749210936,4.565166352011941,0.7182206507885095,0.0312723859693064,8.180671556068189,270.39785866014887,2.233905806866559,0.0001933666666666,0.0001933666666666,0.2297320362575893,0.2886698079508776,0.22011272883948,0.8204687604025089,0.0900246078214387,141.81623005867004
106,93.48512092359138,0.3766261380730253,,,0.2241872998589244,11.22907308226857,30.56613023853835,,,,,0.3625599234393148,1.790637188246756,4.53156884800304,0.7152071226726878,0.0294476766816594,7.823653013055975,222.4926116018584,2.3794182394490098,0.00019204,0.00019204,0.2296546840800919,0.289013430392942,0.2274841311590631,0.8484244156816152,0.108105394156785,142.403954744339
107,94.13855905243844,0.3725867955973654,,,0.237098753452301,11.15088419141716,29.936910725172677,,,,,0.3614023978059942,1.8486937421740908,4.519160623261423,0.7104113441525084,0.0303469524239048,7.974297006202467,311.70032112815164,2.157458894180529,0.0001907133333333,0.0001907133333333,0.2317722602929482,0.2925705510144793,0.2137613438028197,0.7007994012459696,0.1177431933817694,142.5304353237152
108,94.87281822435784,0.3712005711866147,,,0.2467542940011903,11.483411458617482,29.549028023661183,,,,,0.3641491664178444,1.9008851224725896,4.511222397197376,0.7104336586865512,0.030909413279909,8.12084608078003,305.1847459966486,2.04843507752274,0.0001893866666666,0.0001893866666666,0.2215096910572584,0.2815397012167137,0.2297030920422943,0.8723393172525161,0.1426343326170684,141.94195318222046
109,94.23988744562322,0.3703731905330311,,,0.2245711587660805,10.990052121977566,33.37369916692126,,,,,0.3632563399546074,1.8777567560022528,4.508844655932802,0.710935055848324,0.0303346209340926,8.005155167435154,219.4406978260387,2.1569351095141784,0.0001880599999999,0.0001880599999999,0.2313474030468051,0.2949459163170287,0.3570525526334454,2.1214607308030797,0.2120960556400777,142.52438044548035
110,95.2315019087358,0.365794918753884,,,0.2428510215695344,11.385815796239417,29.57782512004149,,,,,0.3662003175778822,1.918176373568448,4.504226496725371,0.7121305830550916,0.0307294373598062,8.197389215411562,320.6152113712195,2.0634596951080093,0.0001867333333333,0.0001867333333333,0.2243375898073505,0.2838842236129931,0.2255403003213126,0.8163029431630779,0.1107535142194847,142.21050906181335
111,94.86848079796994,0.3646315716432802,,,0.2297309294093254,11.443426547769729,29.355072319840584,,,,,0.3619491477807363,1.9118550069404368,4.494483921744607,0.7101382963585131,0.0299465208342581,8.156342142278499,296.4528101834384,1.940706784436197,0.0001854066666666,0.0001854066666666,0.2234311410168695,0.2818163693284189,0.2168471773243483,0.8062226469290323,0.1053328271851193,142.94788241386414
112,95.09192000880384,0.3632396717866262,,,0.227512831794483,11.083818552880311,30.55455320773844,,,,,0.3646528135646473,1.8931161685423417,4.49279609448982,0.7119978861375289,0.0296821127899668,8.200992214318477,278.514322015011,1.932673425024206,0.00018408,0.00018408,0.2332916053313782,0.2951586139934689,0.2269997846480854,0.7733464111162963,0.1350558985864094,142.83848667144775
113,95.28546322909268,0.3655008083040064,,,0.2361166587089027,11.26186843957315,31.78052160593385,,,,,0.3642652166612221,1.9137429078420003,4.5062239473516295,0.7116196039951209,0.0304528140208937,8.209565023942428,287.38325592965793,2.000666193528609,0.0001827533333333,0.0001827533333333,0.2264657659903585,0.2874470416394026,0.2704852807788209,1.3904311530416904,0.18067224982786,142.4748673439026
114,95.98436700069544,0.3641770800857833,,,0.2334685418858874,11.329741451327362,29.59102696679824,,,,,0.3651090369080052,1.933189178958084,4.505447708476673,0.7123868042772467,0.0316879947190031,8.344059999061352,353.7202936345881,2.1382864977374223,0.0001814266666666,0.0001814266666666,0.2259220684040858,0.2864404610415411,0.2253728839438721,0.8991470663241168,0.1214419351734595,143.3745129108429
115,94.93034885290898,0.3633994922493443,,,0.2388651144571144,11.458022645065904,29.262751382156456,,,,,0.3630493386225267,1.913741642056089,4.492558687383478,0.7109672943751018,0.0294289527178713,8.169366533106023,260.0813599557588,2.058357518730741,0.0001801,0.0001801,0.2244530839627015,0.2816041961062553,0.2102525477302807,0.6696986905689346,0.0975562340165427,142.96486687660217
116,95.2682763301965,0.358453382506515,,,0.2342301993396695,11.240989386702385,32.520339635497365,,,,,0.3653466802654844,1.903532190033884,4.527331496729995,0.7146681453242446,0.0312233265263564,8.16043505524144,289.34720815022786,2.028401108944055,0.0001787733333333,0.0001787733333333,0.2300267735673062,0.2894159708609128,0.2913936919340208,1.789491177937172,0.1208754568404103,143.8024926185608
117,93.96009613961884,0.3670555459730553,,,0.2334152306924319,11.147494481262548,30.796821732760808,,,,,0.3619071147658608,1.892830592935736,4.505971269896536,0.7111101399768482,0.0294081039952509,7.954822967991684,251.0823160807292,2.0322214607036475,0.0001774466666666,0.0001774466666666,0.2333210140633183,0.2937938907292968,0.2340376467844627,0.9903242508126372,0.1100704141752014,142.9082498550415
118,93.46624663381866,0.3669085728399681,,,0.23558685666356,11.130419512700769,30.241624757564267,,,,,0.3634351936253634,1.8548437934933288,4.53183268922748,0.7124098579088847,0.0298891852073597,7.807379185069691,242.5461340933135,2.1997114997921567,0.00017612,0.00017612,0.2324710251898739,0.2918651963079441,0.2185344770966961,0.7959072273536767,0.091692678755222,143.18166780471802
119,92.65881393895005,0.3704096727298968,,,0.2390379446178841,11.2257402089721,30.35118019913828,,,,,0.3650899370511373,1.8410557421770963,4.544131096926603,0.711613143935348,0.0295177359924171,7.621689336950129,206.59802974354136,2.1459680351344024,0.0001747933333333,0.0001747933333333,0.2278757351736782,0.2893151910611371,0.2249879813727054,0.8367699088331041,0.107807256163443,143.7780523300171
120,93.19503030487984,0.3710353804357124,,,0.2399904261754211,11.295635415189093,33.92334301911253,,,,,0.3671618085919004,1.857057962995587,4.554013249368379,0.7143643082994403,0.0312770115155162,7.698369205359256,271.079597195712,2.244037144834345,0.0001734666666666,0.0001734666666666,0.226520122429512,0.2870220285554172,0.2753601603667829,1.668649694773072,0.1183009388469839,143.27770400047302
121,94.49325718735204,0.3650138631914601,,,0.2492582748056124,11.41316235931226,28.79913237374588,,,,,0.369801026763338,1.878475826436823,4.54062032699585,0.7153270811745615,0.0320780196086023,7.973955371163108,366.8869143399325,2.16917435797778,0.00017214,0.00017214,0.2224458842304165,0.2835611604445473,0.2055061176502504,0.5102668264724689,0.1138909193210206,143.54454469680786
122,93.1623100974343,0.3660235025665976,,,0.2326889187930016,11.228008547308724,30.654669479284877,,,,,0.3628752592838172,1.855935105410489,4.505363077105898,0.7105817050644846,0.0298305136123389,7.802284500815651,275.74497447158353,2.073305447173841,0.0001708133333333,0.0001708133333333,0.2278299331665039,0.2877698167742297,0.2376302640531316,0.9911168407461496,0.090963699728306,143.4859311580658
123,93.03025711521958,0.3690700847091097,,,0.2258909078283683,11.194499862926632,29.84505671495832,,,,,0.3675227212183403,1.831117716702548,4.561731916485411,0.7162037022186049,0.0305805384096774,7.6528827464941775,279.65219768177377,2.185498509443168,0.0001694866666666,0.0001694866666666,0.2297243822220317,0.2906515644915277,0.2155175515393305,0.6853626953156967,0.1165711747922932,143.83596801757812
124,91.71706223921342,0.3731517318523291,,,0.2278900799138586,11.38772190882507,29.278709209165093,,,,,0.3629917601744334,1.789465967091647,4.564516058835117,0.7120707284320484,0.0294444020950432,7.4066550283721,228.8901675599994,2.131211686134338,0.00016816,0.00016816,0.2205042246333713,0.2826259375950478,0.2170500199222031,0.6961583808147708,0.1653794003806633,144.56807208061218
125,92.98504324248344,0.3687492560256611,,,0.2370094050908222,11.209157741269586,30.23248854695752,,,,,0.3635840546001087,1.8292765068285397,4.542897657914595,0.7113558422435414,0.0297642845321785,7.694928400444262,251.7384495821866,2.23653195662932,0.0001668333333333,0.0001668333333333,0.2300987976223396,0.2897251834416522,0.2152506606705362,0.7294788257369782,0.0929236837161541,143.81194519996643
126,93.94601579145952,0.3644290402983174,,,0.2277685993210563,11.276055533126746,29.349625997703168,,,,,0.3627740959326426,1.880590149128076,4.541188318079168,0.7115339611515854,0.0301681204727201,7.881559030937426,282.6087053241152,2.1811297756252865,0.0001655066666666,0.0001655066666666,0.2269359427457415,0.2879136541036254,0.2098298121098033,0.6496985211718682,0.1287414287555151,144.23308658599854
127,95.32974784157491,0.3599691139026121,,,0.2304522278588577,11.130669108982191,29.44709385706726,,,,,0.3669199994116118,1.9379030762296732,4.541205911925345,0.7161292881676645,0.032505826414986,8.132985484961308,393.221415756688,2.1963350342981744,0.00016418,0.00016418,0.2303888145105798,0.2910952081893409,0.2050486789735336,0.5605585704968629,0.0896111685276253,143.51941752433777
128,93.75537345192647,0.3624772274132931,,,0.2373357448497964,11.456375974516629,29.223085296886595,,,,,0.3615675734751152,1.87135394486514,4.507278919219971,0.7099304759141171,0.0296971315687352,7.917301521879254,294.1958065148556,2.0191664280313435,0.0001628533333333,0.0001628533333333,0.2227071477048224,0.28257159214446,0.2184583252535186,0.8262777315171738,0.1164998357536295,143.83120226860046
129,93.99136588356713,0.36448008165215,,,0.2362062391622106,11.295797102944144,30.15207350320656,,,,,0.3607706823132255,1.8836151722705723,4.497306396021988,0.7085579348332954,0.0296504934403029,7.984977892673377,286.074906019731,2.099000173626524,0.0001615266666666,0.0001615266666666,0.227125088928798,0.2881506688101997,0.2311475463419653,0.952590859136102,0.1317468723923911,143.8529348373413
130,95.13551131739762,0.3614779428099141,,,0.2405092682918356,11.439443534978942,29.925658849364552,,,,,0.3622626340750492,1.9278768582777543,4.505126438718854,0.7110580765839779,0.0309173010628331,8.18332367810336,336.76703412605053,2.0094715197881063,0.0001602,0.0001602,0.2242658178233567,0.2837738158316585,0.2193300171271383,0.8220089350998735,0.1042731322167749,143.53950238227844
131,94.63377962979403,0.3590373645226161,,,0.2392335797155369,11.154854715869414,31.601946708210352,,,,,0.3618521202694286,1.9047577568978973,4.508829426042961,0.7083499951796098,0.0301416507385896,8.084034650976008,274.7548551154859,1.9480443752173224,0.0001588733333333,0.0001588733333333,0.2312740507072576,0.2933413962412147,0.2665897469613805,1.4072903674408044,0.1192943893955739,143.57461619377136
132,93.69323050759056,0.3675100819631056,,,0.2374680272027766,11.251268866341873,30.65137538164021,,,,,0.3595954398314158,1.8741306434978136,4.49133480534409,0.7057875965580795,0.0294967213024695,7.944373229055694,270.199725411155,2.0713304436568056,0.0001575466666666,0.0001575466666666,0.2298304515177977,0.2894222649782063,0.2259440721746263,0.8787705904944649,0.0940039589085392,143.41403436660767
133,94.60808997876715,0.3615829927451683,,,0.2288434552080804,11.10999971528293,30.26308621241394,,,,,0.3592568794886271,1.9034863789876304,4.49521637540875,0.7066857164556329,0.0302573486033714,8.11318560224591,308.36806328513404,2.075005526614912,0.00015622,0.00015622,0.2316823625031796,0.2932234552985463,0.2204085332887798,0.7455819062680505,0.1499239912697112,143.61154055595398
134,95.09497393983784,0.3610189106428262,,,0.2198630594674435,11.402769078089538,29.27673369679371,,,,,0.3614806408231908,1.9070628968152128,4.505849760228937,0.7099137168942076,0.0306666651345563,8.180741052916556,303.87290309559216,2.032160662882256,0.0001548933333333,0.0001548933333333,0.2230274990284243,0.2838733129661176,0.2142673651765844,0.6840600574482752,0.1320093150460464,145.67147660255432
135,94.54379078258168,0.360705463994633,,,0.2309595100040542,11.165073160352652,30.237274702700823,,,,,0.3619330873995116,1.909450023102038,4.508726943622936,0.7108613288763798,0.0298646439657066,8.062740921251702,294.8183051369407,1.965345518878012,0.0001535666666666,0.0001535666666666,0.2284516762088796,0.2909348903421583,0.2265355778473049,0.7840478633369148,0.1749143910696608,145.89038372039795
136,94.00292658950345,0.3619689746336503,,,0.2348416667410781,11.287014625591938,30.09159725338387,,,,,0.3605434907205177,1.8743226325873168,4.511553339524703,0.7078153592167479,0.0295010423795743,7.961911397991758,235.10558665882456,1.9610092069163467,0.00015224,0.00015224,0.2276054983698456,0.2886646476537822,0.2242013952752065,0.795150455815832,0.1278106722515943,145.88604283332825
137,95.06609885475852,0.3582136072895743,,,0.2484302347598795,11.754097645509177,28.877799614847707,,,,,0.3623599847157796,1.92716510368116,4.508602405316902,0.7083255001992891,0.0308056202801791,8.165214318940134,352.73679592248163,2.022655985933361,0.0001509133333333,0.0001509133333333,0.2174816950739429,0.2731329718781583,0.2127211966328114,0.7681119888188452,0.0998502166133575,146.41599202156067
138,94.81395568847655,0.3628478743813255,,,0.2277326753685594,11.22652633496503,30.167452934733983,,,,,0.3601984248016819,1.924177914677244,4.488202080582127,0.7066747495622346,0.0299923601024078,8.162482856981683,333.8279333403616,1.9838185953371448,0.0001495866666666,0.0001495866666666,0.2306148399853839,0.2907401469832692,0.2211612176628752,0.7796788015845102,0.0973555928502002,146.69801139831543
139,94.56822338682232,0.3578670156724525,,,0.2325839376982364,11.319207239417391,30.777987442869048,,,,,0.3575845033833474,1.9063008554054028,4.489064635652484,0.7050226590850136,0.0290615687541889,8.122438826705471,252.79734538685196,1.9086555423158589,0.00014826,0.00014826,0.2263308880049423,0.2871556175487667,0.2397483963540146,0.8955757371540176,0.1154570182823546,147.50278282165527
140,94.1527768684156,0.3591675873958703,,,0.245461256144433,11.324837178491348,37.72706633839528,,,,,0.3568525950113932,1.8817964813926005,4.514495739792332,0.7065694476618911,0.0304257727707877,7.99275969881,297.4177886038116,1.9717758337656657,0.0001469333333333,0.0001469333333333,0.2268261153604731,0.2867733653031248,0.3126842642629612,1.889279201044051,0.1219566605943541,227.9362964630127
141,93.30093823057231,0.3635519963322264,,,0.2429646679808973,11.5460849101317,29.97971819232962,,,,,0.3550935196154045,1.8697393821947503,4.48922015392419,0.7037346157160672,0.0292597833004864,7.882173971696333,284.74969727487274,2.0851992361473317,0.0001456066666666,0.0001456066666666,0.2204301250713497,0.2790314655064204,0.2264109125683427,0.8676928701347479,0.0950179451337739,138.49632000923157
142,94.0507529518821,0.361336136135188,,,0.2426396102212661,11.322359415405955,31.749512496607263,,,,,0.3587718466917673,1.8945074832800664,4.504246815768155,0.7051609241601192,0.0303944889004483,7.987893043864857,315.3707777543501,1.942406540928465,0.00014428,0.00014428,0.2265568112527858,0.2863149409853546,0.2673421239053737,1.6150755709110023,0.1075277238723508,137.65528893470764
143,94.39648844401042,0.3590891348593162,,,0.2292528135816478,11.286820523565709,29.76730006766719,,,,,0.3591272303552338,1.911670533093539,4.495983357862992,0.7055912212892013,0.0296462207581057,8.069292759172844,305.4855865940903,1.9044634154348663,0.0001429533333333,0.0001429533333333,0.2277085514707938,0.2882889036359733,0.2180247018790111,0.76580152098693,0.12408907708731,137.75685286521912
144,95.7074862393466,0.3567321659940662,,,0.2190016594678996,10.95511328841055,31.03520264439077,,,,,0.3638953234210159,1.9314161633000229,4.512380403460878,0.7104483394911795,0.0312020212976318,8.279733397743918,343.2047303170869,2.020526106068582,0.0001416266666666,0.0001416266666666,0.241605993422716,0.3013282301705642,0.2222436410088779,0.8094289998768428,0.1091076204175167,137.72908902168274
145,95.02273106430516,0.3581290781497955,,,0.2341673827038131,11.550325212531916,30.070937865273248,,,,,0.3579155230160915,1.9096209237069797,4.484175580920595,0.7045486775311557,0.0296615188320477,8.222026507059732,304.4002456665039,1.8552709911808825,0.0001403,0.0001403,0.2245320601170289,0.2804618038278718,0.2239293360343858,0.8792665737301277,0.1032710103682299,137.70045638084412
146,95.0259662512577,0.359037974205884,,,0.2400347607095814,11.40979911761577,30.08127258343404,,,,,0.357006447242968,1.9081560936841095,4.49243888276996,0.7036772930260861,0.0299028854591376,8.209032850554495,335.0973470976858,2.0391927831100696,0.0001389733333333,0.0001389733333333,0.225175129634708,0.2842582637371297,0.2227900063192378,0.7695378031810569,0.098762269362502,137.85672187805176
147,94.54804215864702,0.3594978589000124,,,0.2320671830763364,11.497182494435233,29.4799450282944,,,,,0.3566035427830436,1.8999782815124049,4.4922163818821765,0.7048825151992567,0.0291286101959871,8.115438932361025,267.39884509462297,1.912344745072452,0.0001376466666666,0.0001376466666666,0.2229810237218547,0.2822612444115751,0.2213989181558513,0.8657801704033793,0.1267403017458968,137.72125911712646
148,94.86983231053208,0.3583548027457613,,,0.2358217325956461,11.253477938348354,30.95047883614481,,,,,0.3576184932029608,1.9067283594247064,4.519901290084377,0.7088849801005739,0.0293993968742363,8.116936539158676,278.4775542288115,1.8559007399009932,0.00013632,0.00013632,0.2317131378131205,0.2906469379723405,0.2308597866050357,0.9200849949314608,0.0947880328839273,137.65471768379211
149,94.85884353175308,0.3540595370711702,,,0.2477194370504198,11.52454365565124,33.67964415310482,,,,,0.3565581061623313,1.8971432917045823,4.55199846498894,0.7054214665384003,0.0305945316498929,8.057567634004535,279.4249183885979,1.8702754739559055,0.0001349933333333,0.0001349933333333,0.2206649507224226,0.2783600571435257,0.2681034866658003,1.463666756725844,0.1086500571239427,137.84029579162598
150,95.7155532836914,0.3523381388548648,,,0.2271401945439131,11.27513627633036,30.398854314281955,,,,,0.3588958554195635,1.9297947052753333,4.52838183894302,0.7075396284912572,0.0305754558832356,8.262826488957261,406.2524614738696,1.8745293125961768,0.0001336666666666,0.0001336666666666,0.2307455872690211,0.2902308402780714,0.2239940327972007,0.8895348843249529,0.0898843972598596,137.66474509239197
151,94.78482887961648,0.354979024511395,,,0.2327818530897854,11.436446035374477,30.121871191696084,,,,,0.3543157555840232,1.9076783462004228,4.522344595013243,0.7032912716721044,0.0292435079135678,8.10712085203691,224.8875240903912,1.85676293499542,0.00013234,0.00013234,0.2246652711703124,0.2836038470268249,0.2256348496875283,0.9194472458775484,0.0887899237721325,137.76473116874695
152,95.46794738769532,0.3535634447227825,,,0.2356482281365208,11.35377331952143,29.873098384068665,,,,,0.3560650778539253,1.9232311082608773,4.500098540566184,0.7036959973248569,0.0296816579320214,8.281047303748853,347.1986237497041,1.8520614208597128,0.0001310133333333,0.0001310133333333,0.2258165715127018,0.2870513813455677,0.2190948120375585,0.6959224543091971,0.1477451033099403,137.63133692741394
153,96.13247652920808,0.3538123942685849,,,0.2325081072706084,11.35378493410249,29.48774494405565,,,,,0.3585084355238712,1.9370255347454184,4.515429600802335,0.7064470413959387,0.0306755099897131,8.372496801434142,350.8411215117483,1.944199647325458,0.0001296866666666,0.0001296866666666,0.2250135237944192,0.2862072030925218,0.2165666978452458,0.6668555769840432,0.1378514869225313,137.76263451576233
154,96.01016105883048,0.3555462538292914,,,0.2257770153397288,11.294941694376854,29.5339785314805,,,,,0.360004970702258,1.935854145974824,4.509785215782396,0.7074366970495745,0.0309358052570711,8.355469981106845,403.5385328350645,1.895164103580244,0.00012836,0.00012836,0.228696643973196,0.2883937585287254,0.2096761951233421,0.6729285357384708,0.1070078790354329,137.8109576702118
155,95.69421340479995,0.3559104883309567,,,0.233714001138783,11.27198927895317,29.99677555787497,,,,,0.3556518242214665,1.9252472082773844,4.513480033296528,0.7071171655799403,0.0293441918989022,8.296674679264878,291.8260221076734,1.8281509999072916,0.0001270333333333,0.0001270333333333,0.2307894080044837,0.2907717221276054,0.221022898424937,0.7689416055572765,0.1105546002836422,137.82143831253052
156,95.1985125917377,0.3528797559665911,,,0.2324999887184057,11.18269697647521,31.308811550033823,,,,,0.3529204110304514,1.9070469090432831,4.504606353875363,0.7021482247294801,0.0290978712453083,8.229452147628322,260.1334102746212,1.785950514945117,0.0001257066666666,0.0001257066666666,0.2314627323736691,0.2920931327942363,0.240795828943146,0.9879039326193612,0.1072982405928038,137.74292826652527
157,96.45522964939929,0.3517346011869835,,,0.2331222012722292,11.292177722440751,30.631733771808985,,,,,0.3578665812810262,1.9631498372916016,4.496502567060066,0.7047306714635907,0.0310372519447948,8.472532122062914,417.942822265625,1.8129990631883797,0.00012438,0.00012438,0.2283934581213157,0.287616214605683,0.2302055458782771,0.8975028175881455,0.1035562196618129,137.80983471870422
158,95.76290967536696,0.3516283584363532,,,0.2372155269431002,11.418888795309227,33.33271722420634,,,,,0.3535707191987471,1.933861701416247,4.490858586629232,0.7024174722758206,0.0294468905212301,8.36275472351999,293.95014458858606,1.7403836167219913,0.0001230533333333,0.0001230533333333,0.2253790914013399,0.2847127394969237,0.266004622398808,1.4808640220311766,0.118407009297798,137.91206431388855
159,96.38926266756924,0.3499978531490673,,,0.2317468077776818,11.208647957061256,30.652215126506444,,,,,0.3548171657504457,1.9579628756552032,4.499139086405436,0.7029500856544032,0.0304737600864786,8.463207950014057,344.041413232052,1.8104795116366763,0.0001217266666666,0.0001217266666666,0.2315217855922336,0.2920686622571679,0.2267396371790816,0.8743736947048976,0.1061928353967835,137.91323161125183
160,95.26966626716384,0.355095185655536,,,0.2268974065114666,11.231547478191011,29.947362377656905,,,,,0.3534500564589645,1.9101937994812477,4.510010190443559,0.7039354837302005,0.0295772290591037,8.229207587964607,308.1325347900391,1.826500163295052,0.0001204,0.0001204,0.2300559848380488,0.2911204462610809,0.2196537274555121,0.6954053500511127,0.1013498603603915,138.04100108146667
161,95.07800727613044,0.3553795402700251,,,0.2271639807930205,11.182923641950724,31.23018661158045,,,,,0.3539612161390709,1.903777213530107,4.528855765949596,0.704525934566151,0.0299425213964599,8.152709091070927,331.3899957599062,1.8410188255888045,0.0001190733333333,0.0001190733333333,0.2322639819630031,0.291981358101914,0.2346009202509619,1.0456890227408382,0.084371416317906,137.76988101005554
162,94.67756717566289,0.3563063717249668,,,0.2472576975156475,11.295332050856263,31.696375425967425,,,,,0.3523261091925881,1.886455392115044,4.534921692356919,0.7036696697726395,0.0296656958081505,8.068190794280081,285.44124039158675,1.9662190820231584,0.0001177466666666,0.0001177466666666,0.2225773600892647,0.2842770049025893,0.2999814752093906,1.7231354054125994,0.1285494575537117,137.95093655586243
163,94.05088376131924,0.3573349591457482,,,0.2108320330774317,11.062622752269553,36.85726434292074,,,,,0.3514101062760209,1.86123673843615,4.53158841566606,0.702347812869332,0.0295873725956136,7.957749597954027,293.88412376172613,2.0904654253612867,0.00011642,0.00011642,0.2310668493116368,0.2942830237596394,0.3197006233577621,1.755825564847978,0.1952430579804397,137.87660121917725
164,94.87634568647904,0.35258991411238,,,0.2293788913907951,11.347739384827,31.184519421454915,,,,,0.3553180875200213,1.8908157254710345,4.529886768803452,0.7046885761347684,0.0302857030295964,8.109893420248321,314.52896719267875,1.8896231318965104,0.0001150933333333,0.0001150933333333,0.2271592400593464,0.287003878108616,0.2381020626209301,1.034749768965737,0.096895063639353,137.76623940467834
165,95.03512291185784,0.3543205850052111,,,0.2348664739278441,11.476096382354225,29.803379421127573,,,,,0.3574434753620263,1.8958387858939891,4.527635715947007,0.706866179451798,0.0306889968162233,8.138556616234057,302.77097070867364,2.1016655073021395,0.0001137666666666,0.0001137666666666,0.2239791670991056,0.2829100802624026,0.2227608786281926,0.799772759056624,0.0967850494900895,137.77527689933777
166,94.3713270707564,0.353128876469352,,,0.2343847112282694,11.46831124588098,31.22587167750524,,,,,0.3516597196911321,1.880325561581236,4.518714318130956,0.7049113215822163,0.0290409239855679,8.040924453735352,217.89587901722305,1.8761067986488345,0.00011244,0.00011244,0.2235198886700848,0.2823915218507777,0.234999233867203,1.1691735456775687,0.0902245803640763,137.80596375465393
167,95.38706549442176,0.3500769904165557,,,0.2427354045420385,11.555381860146976,29.32681615392589,,,,,0.3531941923228177,1.92420695550514,4.498560278343432,0.7052675120758288,0.0297736869278279,8.271885799639152,331.70418243408204,1.833495358987288,0.0001111133333333,0.0001111133333333,0.2213094594092342,0.2801422100493362,0.2152918535570858,0.7512868895877007,0.09657382759746,137.7941882610321
168,96.4347161957712,0.3475468271609508,,,0.2317637501482191,11.434203462227762,28.93984011431646,,,,,0.355388961055062,1.9461009841976744,4.511432910687995,0.7061512611129067,0.031639476301092,8.44527227228338,375.2905037157464,1.8354506228909349,0.0001097866666666,0.0001097866666666,0.2232414610559047,0.2829853908975697,0.2058598173563706,0.5627564498166132,0.1041874799051875,138.67499089241028
169,96.62051137288412,0.3453529800429488,,,0.2508896246302727,11.347793984013563,31.398554604812706,,,,,0.3536632120609283,1.967631846485716,4.494129380312833,0.7049036401690859,0.0322092195126143,8.51720342058124,438.4211312496301,1.8292856191143845,0.00010846,0.00010846,0.2265691797160569,0.2865114758134554,0.2507324272860362,1.3666155038599197,0.0972227125915957,138.31984663009644
170,95.38566228693182,0.3535296965729106,,,0.2382942228343899,11.31396484375,29.66797642201685,,,,,0.3503679013613499,1.9237968264204084,4.491302946842078,0.7031789906097181,0.0291496408030842,8.294192695617676,271.0088549064868,1.8396451169794257,0.0001071333333333,0.0001071333333333,0.2255126267838078,0.2870284472097897,0.219946241661823,0.674324847133466,0.1368314180613341,138.199134349823
171,95.87832128351386,0.3503662047964154,,,0.2354083107836419,11.462677918332917,29.228037274749585,,,,,0.3501835344415722,1.9447540839513144,4.496228197849158,0.7038013042825642,0.0289414505502491,8.37851204438643,251.7650571418531,1.7471012610377687,0.0001058066666666,0.0001058066666666,0.2231359461832313,0.2835819238391002,0.2190794352046604,0.7731538984362639,0.1145405587384709,137.927086353302
