epoch,g_loss,d_loss,l1_loss,perc_loss,val_ssim,val_psnr,val_lab_error,g_diff,param_changed_pct,lr,epoch_duration_s,l1,adv,perc,ssim_loss,chroma,feat,g_grad_norm,d_grad_norm,g_lr,d_lr,val_mae,val_rmse,val_sam,val_sat_ratio,val_hist_dist,duration_sec
43,94.06325137976444,0.3933097470890392,,,0.2135768725885359,10.962427661405597,30.83810323576688,,,,,0.4256274443684202,1.7355452956575337,4.514275961211234,0.7535544464082429,0.0331575208879781,7.818916901675138,167.4318169333718,2.712510151935346,0.0002,0.0002,0.2388413098937306,0.299041125028493,0.2214092033701902,0.7348666650622917,0.118777523230019,139.352792263031
44,95.07395893443714,0.3880452347524238,,,0.226794573847808,11.597038226420652,29.326497168514315,,,,,0.4220265146457788,1.7847701260537812,4.507997353871663,0.7495890964161266,0.0319821369580247,8.035408028689298,183.40682021632333,2.4939346317088966,0.0002,0.0002,0.2195582193369306,0.2775185694241657,0.2210038981957142,0.6949307309182663,0.1301849543132595,136.33707761764526
45,94.90518636992483,0.3828116617419503,,,0.2072417336469256,10.587684375613762,32.43583948785366,,,,,0.4199285059264211,1.7701995827934958,4.489603007923473,0.7477694778731375,0.0319196892055598,8.047397058660334,148.87842125170158,2.4459185387149,0.0002,0.0002,0.2508553562883558,0.3122162845547638,0.2297140053530645,0.825364511772241,0.1339683454462935,136.10248947143555
46,95.1752432158499,0.3873693905996553,,,0.1956851532339383,10.911216309616686,31.38042446754498,,,,,0.4183880332744483,1.7809503692569155,4.499364526344068,0.7484155008287141,0.0325227146686026,8.081928784919507,186.37114368785512,2.5417954564094543,0.0002,0.0002,0.2404298988800475,0.3004375056847513,0.234229772617031,0.9511086188215118,0.1310568269016134,135.55043196678162
47,95.35453102805398,0.388389055295424,,,0.234025197655129,11.247870930080309,29.78248030380164,,,,,0.4184263865152994,1.7892206394311154,4.505799793474602,0.7502190524881537,0.0328664540341406,8.101244094155051,214.6798510233561,2.528873920440674,0.0002,0.0002,0.229506600502483,0.2902850705152117,0.214560408998468,0.5721440411812766,0.1793184677066083,135.50652480125427
48,94.78007951216264,0.3851017171686345,,,0.2142695707981813,11.231372087361429,33.81605804699093,,,,,0.4151372976375349,1.7792562809857455,4.497916296756629,0.7485911911184138,0.0307490411581415,8.013166661696001,154.31553638342655,2.1470747138514663,0.0002,0.0002,0.2320768160526979,0.2901930043151259,0.2656956926071444,1.448131328854481,0.1332022988096961,135.7618923187256
49,97.3614980061849,0.3787655933336778,,,0.2312347809029691,11.383478473684642,29.54649886871849,,,,,0.4115487694740295,1.872020308899157,4.476463023099032,0.7451214165398569,0.032269694125562,8.563842750318123,249.62294836333305,2.250552369609024,0.0002,0.0002,0.2275091409683227,0.2860232378517449,0.2194219669483227,0.6603185357994208,0.1258465831950168,135.46855521202087
50,97.30216614694308,0.3761864458972757,,,0.2039920664366397,11.021023585143702,31.88500475750289,,,,,0.4149848556879795,1.852786830699805,4.483197862451727,0.7484672539161913,0.032575776811802,8.532012792067095,203.61233978271488,2.349333434393912,0.0002,0.0002,0.2390424362774001,0.2994751024512605,0.2565733427441986,1.029788650613923,0.1879626365042043,135.46689891815186
51,98.30426039262252,0.3726038271730596,,,0.2213452981170995,10.95237729802478,34.59703262158612,,,,,0.4084677777507088,1.9039979074940536,4.453534759174694,0.7417735374335087,0.0316132219226071,8.801628511602228,289.4485604026101,2.231791601759015,0.0002,0.0002,0.2406263990775167,0.300670424986152,0.2627688817804752,1.215837099032695,0.143338542771517,135.81818771362305
52,97.87823652787642,0.3732243222720695,,,0.2289297787170836,11.246037637721226,29.81273303751173,,,,,0.4073623021443684,1.8871859788894647,4.459227625528971,0.7411701068733678,0.0322150435411568,8.710974043065852,221.601662791859,2.127140790765936,0.0002,0.0002,0.2298491530578229,0.2892452515037366,0.2195755590440174,0.6849785493738825,0.1120928236781108,135.6152381896973
53,96.06530798709754,0.3785888052347934,,,0.2117720502714871,10.977513233376614,31.281867448178083,,,,,0.4073485150481715,1.806920010393316,4.474894610318271,0.7408899281964157,0.031768033405145,8.333594209497624,100.29601588393705,2.2525994047974094,0.0002,0.0002,0.2391832374327675,0.2987529658738461,0.2260187254937667,0.8564568231891654,0.1125539014570317,136.23270392417908
54,95.58240088260536,0.3810588453755234,,,0.2268960652404657,11.406921770319592,32.51569712761394,,,,,0.4064627432461941,1.807435295798561,4.477311697873202,0.7376654874194752,0.0307881437242031,8.237463448264382,115.42764143510298,2.3623849606875216,0.0002,0.0002,0.2255458025958951,0.2836238608679958,0.2697837272835843,1.3075925085131683,0.1107401904169629,135.81391525268555
55,96.6087535048976,0.3825334234671159,,,0.2360006161242224,11.410182697146965,30.55858541733726,,,,,0.4035541801741629,1.869657830036048,4.473737739794182,0.7374283414898497,0.0315361814629851,8.443192464655096,217.0305899186568,2.391573778065768,0.0002,0.0002,0.226175869976342,0.2841091802000333,0.2412478985400173,0.9232862521816232,0.1169078661964814,136.1868085861206
56,96.11681009928384,0.3758088621226224,,,0.2281235513074438,11.13061410488363,31.177458011904243,,,,,0.4036471758828018,1.816062095670989,4.468429978688558,0.7367029591040177,0.0312379675493998,8.366797051285252,145.05577332467743,2.2120978424043365,0.0002,0.0002,0.2357670867909266,0.2946549271072089,0.231982377737594,0.9447573922865884,0.1182061444614186,136.21875405311584
57,96.24905987363871,0.3726549820466475,,,0.2444742228731762,11.448035213534393,30.07010003841123,,,,,0.4011013386827526,1.843856969024196,4.461857457594438,0.7343574986313328,0.0308781816878102,8.408414204915365,137.4649028893673,2.2282563664696435,0.0002,0.0002,0.2251789992748026,0.2838194769853986,0.2308443232788053,0.915583006496536,0.1189261069677395,135.98199367523193
58,97.56896681352096,0.3730896854039394,,,0.2228282310443217,11.11568046015734,30.36100521833537,,,,,0.4002318658611991,1.8716408700654,4.454319078272039,0.7342104626424385,0.0315504323804017,8.683532657045307,216.7203822511615,2.3254089294057905,0.0002,0.0002,0.233211672172866,0.2938916773103469,0.2163827049665611,0.6571525208776889,0.1750303666199275,136.49686908721924
59,96.7620528712417,0.3747054144288554,,,0.2092239733514839,10.926687272567325,31.023423796925464,,,,,0.3992009744499669,1.8459752913677328,4.455542272509951,0.7313486731413639,0.0314241156885118,8.529810682932537,160.64648677941526,2.4407077102950123,0.0002,0.0002,0.2409063764124609,0.3021616729278138,0.2180797472679415,0.6291887490443011,0.1755174229847652,136.0874059200287
60,96.76020207260596,0.3724138883027163,,,0.2211516366324611,11.455362245357236,30.64064639640254,,,,,0.3969851544409087,1.8543067440842136,4.4532879511515295,0.7328682686343337,0.0312794170596382,8.535252796519886,164.15645271070076,2.146009281548587,0.0002,0.0002,0.2243519095735177,0.2829755108449712,0.2369653519305437,0.9731012216493404,0.1207537793413886,136.24397921562195
61,97.36960620302142,0.3716791525031581,,,0.221360719403741,11.295942167996028,29.852922428919616,,,,,0.3949429992473486,1.875736745198568,4.4617297866127705,0.7324102184989235,0.0322049297053705,8.640136160995022,210.1992582378965,2.145762817064921,0.0002,0.0002,0.2282468313611419,0.2877552725749309,0.2156119737878192,0.6541953852722765,0.1317746577094165,136.53062295913696
62,96.58593195134944,0.3724521808552019,,,0.2280614059730615,11.219056944607356,30.48108551622103,,,,,0.3958440446492397,1.854430809165492,4.445009618816954,0.7320392153479837,0.0305773414897196,8.520322756333785,131.13641223329486,2.2664986783807928,0.0002,0.0002,0.2310808201075932,0.2884661691814827,0.2212664432532294,0.8059885981362626,0.1049438203568787,136.20641374588013
63,96.94759859027285,0.3734923971421791,,,0.2210062988643539,11.316667865774486,30.949237439885486,,,,,0.3946795622507731,1.876811764457009,4.459206534876968,0.7323118982893048,0.0310432678596539,8.561655934651693,148.16483427105527,2.115215950301199,0.0002,0.0002,0.2278959791087571,0.2867063563629236,0.2357153281486234,0.9065027430070846,0.1153201480123805,136.61971759796145
64,97.4109272812352,0.3710381000330954,,,0.2487600172698164,11.596980515805036,29.12313093686237,,,,,0.3925707184907162,1.8645771214456268,4.450398725451845,0.7288518699732693,0.0315646381992282,8.681853366620613,177.84065669666637,2.244479020797845,0.0002,0.0002,0.2183121196384536,0.2761736039342827,0.2222876781857879,0.8194445002012413,0.1204068363822816,136.1939992904663
65,97.13317089658796,0.3701884565028277,,,0.2390264129505477,11.277912971027735,32.381279204810795,,,,,0.3885932048161825,1.8687593163865983,4.432956429683801,0.7249175400444956,0.0309186174788258,8.67249800942161,168.17078582301284,2.2102049737265617,0.0002,0.0002,0.2296322204547221,0.2885527244493282,0.2504101466366699,1.1954713147445764,0.1085842222086321,136.12393856048584
66,98.47489679509944,0.3666703760623931,,,0.2396930702571762,11.403167639364744,30.878611090462968,,,,,0.3894015472946745,1.937613597783176,4.431117283214222,0.7262776671033917,0.031389405194557,8.927585691394228,215.0959574612704,2.0214630285898845,0.0002,0.0002,0.2266284244020558,0.2855119425491247,0.2415502224554562,0.9387655890853712,0.1417557438367239,136.85035276412964
67,97.6930283055161,0.3673023238326564,,,0.2388978377400829,11.675450628696208,29.130152803559543,,,,,0.3870520967425722,1.913324644348838,4.434341433553985,0.7255426905371926,0.0304140691504333,8.775445461273193,165.00708278309216,2.0235213261662106,0.0002,0.0002,0.2182926891902305,0.2740690614924084,0.2179068134650171,0.7652774609666962,0.1399573780304892,136.46037650108337
68,98.9936704231031,0.3636031139077562,,,0.2522325951959834,11.591712695926262,29.236846327115703,,,,,0.3852426682457779,1.926703721826727,4.438405453075062,0.7238043767033201,0.0317460243336179,9.029594294230144,229.6901885061553,1.9595154133709995,0.0002,0.0002,0.2206882378242535,0.2797758479358098,0.2186062263543379,0.6556382259177096,0.1404215260313432,137.04379630088806
69,97.46566957415956,0.3687431116898854,,,0.2314975568036127,11.454809050320248,32.602298416904894,,,,,0.386985567483035,1.882213346163432,4.440053558349609,0.7260283228122827,0.0297740816731344,8.724674846186783,110.3930751916134,1.980819926117405,0.0002,0.0002,0.2205447351466344,0.2795297779850453,0.2750182584677328,1.3350773843307069,0.1278501527463701,136.61805295944214
70,98.66138638583097,0.3679478031216245,,,0.2209386912138102,11.23719393341235,29.97874373963425,,,,,0.3877080592242154,1.903489311536153,4.456888667019931,0.7269548119920672,0.0316791897808963,8.9227594982494,180.2469833605217,2.245560559720704,0.0002,0.0002,0.2303116528015563,0.2895752001741078,0.2164289628327226,0.7165493928520373,0.1234858033543858,136.94515895843506
71,98.03180953517104,0.3664995195287647,,,0.2224099416306565,11.445546326024571,29.671101500868133,,,,,0.3853666097828836,1.8971987305265483,4.4525344212849935,0.7253473769534718,0.0304295305839993,8.813600915851016,140.43083912242545,1.9871141529444487,0.0002,0.0002,0.2238078183967974,0.2834072515951188,0.2206573187472434,0.6682334915219739,0.141956907029314,137.26773071289062
